,0,1,2,3,4,5
3931,1641529800,3140.0,3192.3,3185.72,3180.58,190.61975089
3932,1641528900,3157.96,3216.45,3213.77,3191.09,459.24609744
3933,1641528000,3211.04,3251.01,3237.01,3217.23,175.52822956
3934,1641527100,3234.33,3264.5,3257.98,3236.79,394.21488608
3935,1641526200,3225.0,3300.99,3300.99,3253.36,910.97828858
3936,1641525300,3296.65,3354.5,3347.72,3308.86,174.42564694
3937,1641524400,3342.62,3362.0,3362.0,3350.0,89.82926879
3938,1641523500,3357.07,3374.74,3369.74,3362.47,50.23224203
3939,1641522600,3365.78,3384.45,3384.45,3369.73,42.23126999
3940,1641521700,3374.93,3384.37,3374.93,3383.47,123.77988102
3941,1641520800,3373.48,3390.42,3385.42,3377.78,33.95152655
3942,1641519900,3383.06,3392.6,3383.06,3384.88,60.56341621
3943,1641519000,3375.41,3387.67,3381.78,3379.86,49.05671151
3944,1641518100,3366.51,3383.3,3376.88,3380.64,63.5801204
3945,1641517200,3366.98,3382.03,3366.98,3377.77,203.83235791
3946,1641516300,3363.48,3376.6,3369.78,3367.15,142.62772747
3947,1641515400,3364.55,3391.25,3386.96,3368.68,69.41164756
3948,1641514500,3385.58,3400.36,3394.13,3388.19,56.39441389
3949,1641513600,3389.84,3414.88,3405.0,3390.67,54.54275565
3950,1641512700,3405.64,3421.47,3421.47,3407.56,86.83673111
3951,1641511800,3407.48,3423.5,3410.33,3422.26,20.19998761
3952,1641510900,3406.0,3418.88,3417.99,3411.66,32.10674982
3953,1641510000,3417.19,3429.8,3428.93,3420.89,60.75031819
3954,1641509100,3427.61,3429.64,3427.61,3428.24,4.64216652
3955,1641508200,3422.65,3431.27,3431.26,3422.65,19.98194516
3956,1641507300,3417.38,3430.31,3425.93,3429.2,37.21780726
3957,1641506400,3423.19,3431.26,3430.0,3425.77,34.86732728
3958,1641505500,3423.3,3430.5,3423.32,3430.0,31.78088621
3959,1641504600,3423.35,3431.82,3429.19,3423.35,19.44440389
3960,1641503700,3416.14,3428.75,3416.14,3428.52,43.1826306
3961,1641502800,3414.06,3428.23,3425.16,3418.23,29.66247614
3962,1641501900,3418.49,3433.79,3432.05,3425.78,76.83205209
3963,1641501000,3427.08,3444.96,3443.56,3430.93,78.8507158
3964,1641500100,3429.27,3444.08,3443.4,3443.02,430.87424596
3965,1641499200,3443.4,3458.34,3447.37,3443.4,129.42540072
3966,1641498300,3447.37,3453.49,3449.07,3447.37,48.21438081
3967,1641497400,3435.85,3449.39,3445.61,3448.86,136.55449752
